smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
COC(c1cncnc1)C(C)CCC(=O)OCC(S)OO,316.37899999999996,1.8691,8,2,4.0,0.23616786222670919,3,90.77000000000001,0,4,2,0.19528064,0.5500187,0.8826326,0.011453873,0.1824568,0.14316344,0.06372534,0.07523786,0.024029274,0.41366738,0.6488293,0.15493302,0.13872817,0.6207465,0.9999291,0.0027727354,0.0109204,0.031330418,0.048415314,0.0046582096,0.021199381,0.0007589051,0.7212863,0.020498527,0.06133933,0.003297118,0.032554664,0.0023611276,0.0059373537,0.2969359,0.31285444,-5.063525,68.35045,43.38768,-1.8955669,-14.482875,2.3293827,0.5324438,39.35356,-1.0739524,2.1668353,45.9402460456942,42.46045694200352,84.51669595782074,61.37082601054482,63.44463971880493,14.024604569420037,76.60808435852373,61.82776801405976,47.59226713532514,99.27943760984184,95.07908611599298,46.08084358523726,36.520210896309315,72.72407732864676,31.528998242530758,63.33919156414763,53.63796133567663,58.875219683655544,39.75395430579965,38.10193321616872,47.697715289982426,86.78383128295256,46.99472759226714,60.00000000000001,61.47627416520211,77.08260105448156,16.203866432337435,20.351493848857647,56.27416520210897,62.882249560632694,17.152899824253076,1.9332161687170477,15.922671353251319,45.48330404217926,38.55887521968366,32.12653778558875,31.493848857644995,63.374340949033396,20.351493848857647,22.49560632688928,20.808435852372586,51.3884007029877,41.6871704745167,73.98945518453428,64.21792618629175,19.121265377855888,38.20738137082601,42.7768014059754,39.015817223198596,19.964850615114237,82.56590509666081,56.73110720562391
COC(c1cncnc1)C(C)CCC(=O)NCC(S)OO,315.395,1.4421,7,3,4.0,0.27626790230024945,3,93.57000000000001,0,4,2,0.17184472,0.43122807,0.8562309,0.0019486872,0.06890176,0.092917666,0.026150066,0.06064071,0.012682354,0.33456773,0.4805769,0.16634281,0.11573428,0.49892014,0.99982226,0.0021945224,0.008209849,0.015584899,0.018407157,0.0030122038,0.017137375,0.0002279211,0.5365292,0.008725618,0.036311843,0.0014474823,0.018909391,0.00095933536,0.003315507,0.30314136,0.27340034,-5.378045,23.185116,12.01512,7.4093103,-16.541946,2.6494498,-0.17435464,21.097101,-0.6036479,1.9161708,45.62390158172232,37.08260105448155,79.85940246045695,78.20738137082601,63.44463971880493,17.574692442882252,76.60808435852373,63.8664323374341,47.59226713532514,99.27943760984184,95.07908611599298,41.511423550087876,27.978910369068544,65.02636203866433,17.715289982425308,45.76449912126538,34.97363796133568,45.76449912126538,33.919156414762746,28.014059753954307,40.421792618629176,81.86291739894553,50.82601054481547,54.76274165202109,55.64147627416521,70.12302284710019,12.829525483304044,13.673110720562391,46.010544815465735,49.03339191564148,10.22847100175747,1.1599297012302285,7.768014059753955,35.571177504393674,31.985940246045697,19.964850615114237,19.964850615114237,53.84885764499122,12.513181019332162,15.289982425307558,21.79261862917399,48.54130052724078,27.451669595782075,41.6871704745167,35.95782073813709,35.254833040421794,27.17047451669596,63.02284710017575,27.662565905096663,9.595782073813709,88.50615114235502,54.516695957820744
COC(c1cncnc1)C(C)CCSCC(S)OO,304.43699999999995,2.669000000000001,7,2,4.0,0.2403533370634007,3,64.47000000000001,0,5,2,0.2237624,0.43496996,0.87238026,0.014372552,0.17728448,0.113367476,0.05591779,0.09221608,0.031039989,0.37393814,0.6409947,0.15834843,0.104720116,0.5048628,0.9998991,0.0027831008,0.00945884,0.04576183,0.08965042,0.007689825,0.023639148,0.00091192,0.7033916,0.020210197,0.09657857,0.0033284824,0.06732522,0.006494914,0.007179269,0.38853556,0.33172646,-5.15057,49.040287,29.48109,13.165398,-14.443904,2.631708,0.72165614,38.73182,-1.4811127,4.188529,41.89806678383129,55.88752196836556,79.85940246045695,61.37082601054482,63.44463971880493,14.340949033391917,76.60808435852373,42.70650263620387,47.59226713532514,99.89455184534272,95.07908611599298,50.61511423550088,28.084358523725836,69.20913884007031,33.98945518453427,62.98769771528999,41.86291739894552,56.73110720562391,45.13181019332162,41.47627416520211,43.55008787346222,86.67838312829527,48.295254833040424,51.880492091388405,55.922671353251324,74.02460456942003,16.274165202108964,17.012302284710017,61.26537785588753,73.70826010544816,28.189806678383132,2.460456942003515,17.855887521968366,44.32337434094904,38.45342706502637,43.33919156414763,31.669595782073817,77.96133567662567,31.423550087873465,25.20210896309315,32.30228471001758,52.89982425307558,38.17223198594025,63.12829525483305,53.67311072056239,45.799648506151144,38.4182776801406,62.03866432337435,41.86291739894552,19.613356766256594,77.64499121265379,70.26362038664324
COC(c1cncnc1)C(C)CCC(=O)CC(S)OO,300.37999999999994,2.2851000000000004,7,2,4.0,0.3150496760841856,3,81.54,0,4,2,0.19594534,0.49352288,0.87167233,0.0025988962,0.073325455,0.13252127,0.026470026,0.063538864,0.017271202,0.35383043,0.4669489,0.13721606,0.13313818,0.50410664,0.9998582,0.0033415034,0.01153058,0.015115814,0.03680987,0.0048152567,0.020669844,0.0007326274,0.59469587,0.015447462,0.05486344,0.002462831,0.033787303,0.0021621364,0.005828607,0.33951545,0.25540486,-5.1780696,37.495438,18.626488,9.473491,-15.042074,2.550014,0.17439118,26.891113,-0.86333245,2.520135,40.45694200351494,48.54130052724078,79.85940246045695,61.37082601054482,63.44463971880493,22.214411247803167,76.60808435852373,55.377855887521974,47.59226713532514,99.27943760984184,95.07908611599298,46.29173989455185,32.44288224956063,69.06854130052724,19.75395430579965,46.67838312829526,50.50966608084359,45.97539543057997,34.833040421792624,33.00527240773287,41.968365553602816,81.33567662565906,42.39015817223199,58.76977152899825,55.88752196836556,71.8804920913884,19.332161687170476,22.214411247803167,45.72934973637962,58.80492091388401,17.680140597539545,1.827768014059754,15.676625659050968,37.926186291739896,36.62565905096661,29.666080843585238,26.99472759226714,64.04217926186293,19.226713532513184,22.284710017574696,25.623901581722322,47.0298769771529,36.90685413005273,55.008787346221446,43.09314586994728,39.12126537785589,35.149384885764505,56.555360281195085,33.32161687170475,13.075571177504395,85.27240773286468,59.26186291739895
COC(c1cncnc1)C(C)CCC(=O)N(C)CC(S)OO,329.42199999999997,1.7843,7,2,4.0,0.3108797093859252,3,84.78000000000002,0,4,2,0.13652472,0.42177868,0.8629882,0.00083833205,0.0445396,0.09875828,0.017730143,0.07382427,0.012975683,0.36147672,0.38520765,0.14304885,0.122978106,0.44118333,0.99978334,0.0017531259,0.008254088,0.008019568,0.010394546,0.002475152,0.015505763,0.0001858362,0.5550754,0.008960446,0.026568254,0.0008097476,0.013358536,0.00059750443,0.0022502507,0.3085321,0.29843688,-5.162449,46.50193,24.771511,7.661874,-15.978403,2.3568268,-0.21898714,16.665997,-0.400001,2.5574882,49.068541300527244,41.40597539543058,79.85940246045695,61.37082601054482,63.44463971880493,21.652021089630935,76.60808435852373,57.85588752196837,47.59226713532514,99.27943760984184,95.07908611599298,35.430579964850615,27.275922671353253,66.67838312829527,13.075571177504395,38.55887521968366,36.871704745166966,39.71880492091389,39.156414762741655,28.506151142355012,42.56590509666081,78.20738137082601,44.00702987697716,56.41476274165203,52.26713532513182,69.06854130052724,10.369068541300528,13.74340949033392,35.430579964850615,40.878734622144115,7.732864674868191,0.913884007029877,7.065026362038665,36.30931458699473,32.12653778558875,14.376098418277682,12.829525483304044,46.50263620386644,9.595782073813709,10.896309314586995,22.284710017574696,50.298769771529,37.46924428822496,61.26537785588753,49.3145869947276,35.746924428822496,29.630931458699475,44.288224956063274,27.10017574692443,7.4165202108963095,90.96660808435853,59.367311072056246
COC(c1cncnc1)C(C)CCOCC(S)OO,288.36899999999997,1.9524,7,2,4.0,0.23780192384266577,3,73.70000000000002,0,5,2,0.22420959,0.49688593,0.9107295,0.008228156,0.122334585,0.12524,0.038468022,0.07907628,0.014423546,0.3731724,0.57042277,0.14678264,0.10291569,0.5905766,0.9999307,0.0022050305,0.009879636,0.029513413,0.05815946,0.00534703,0.019747969,0.0007315109,0.7207298,0.016656917,0.075633995,0.0029814811,0.037281647,0.0037488746,0.0053827097,0.28042525,0.28617045,-5.1074476,44.67514,18.70598,14.390737,-14.387733,2.4639258,0.24128039,26.109524,-0.5633713,4.80172,36.977152899824254,43.93673110720563,79.85940246045695,61.37082601054482,63.44463971880493,14.094903339191566,76.60808435852373,49.17398945518454,47.59226713532514,99.89455184534272,95.07908611599298,50.68541300527241,32.75922671353251,82.8822495606327,28.857644991212656,55.53602811950791,47.873462214411255,51.423550087873465,41.12478031634447,30.123022847100177,43.514938488576455,84.81546572934974,45.09666080843586,51.59929701230229,60.00000000000001,77.36379613356767,12.864674868189807,17.820738137082603,55.21968365553603,66.81898066783832,19.929701230228474,1.5114235500878737,15.676625659050968,45.4481546572935,37.08260105448155,36.90685413005273,30.158172231985944,66.25659050966608,25.4481546572935,21.23022847100176,18.875219683655537,49.49033391915642,40.0,60.105448154657296,43.198594024604574,47.94376098418278,38.76977152899825,51.59929701230229,33.84885764499121,12.72407732864675,88.96309314586996,73.49736379613357
COC(c1cncnc1)C(C)CCS(=O)(=O)CC(S)OO,336.435,1.3506,8,2,4.0,0.30384781869564975,3,98.61000000000001,0,4,2,0.45917898,0.3740262,0.8409921,9.497952e-05,0.0095545435,0.12559387,0.0038970984,0.030525263,0.0041247495,0.3016469,0.11705808,0.22960453,0.12840553,0.51444733,0.99488527,0.0068107233,0.010689056,0.0027309093,0.016671218,0.0059048026,0.030237067,0.000874562,0.29604143,0.007099005,0.0833217,0.0020659757,0.04026636,0.0012869099,0.011658374,0.44821692,0.11070023,-5.230706,47.757984,28.06345,4.988505,-15.771357,2.191653,-0.014053369,27.8755,-1.0519152,1.5525582,50.650263620386646,35.99297012302285,84.51669595782074,61.37082601054482,63.44463971880493,20.52724077328647,76.60808435852373,66.85413005272409,47.59226713532514,99.27943760984184,95.07908611599298,75.46572934973639,23.690685413005273,60.456942003514946,6.959578207381371,15.043936731107207,48.189806678383135,19.82425307557118,22.776801405975398,13.11072056239016,37.750439367311074,60.105448154657296,65.20210896309315,57.57469244288225,56.239015817223205,44.11247803163445,36.27416520210897,19.75395430579965,17.855887521968366,47.66256590509666,21.93321616871705,6.537785588752198,17.504393673110723,26.22144112478032,30.263620386643236,39.68365553602812,24.3585237258348,67.83831282952549,14.657293497363797,32.54833040421793,40.07029876977153,32.61862917398946,34.13005272407733,62.319859402460466,52.4780316344464,31.036906854130056,30.615114235500883,34.13005272407733,30.439367311072058,13.884007029876978,82.7768014059754,51.84534270650264
COC(c1cncnc1)C(C)CC[S+]([O-])CC(S)OO,320.436,1.6844999999999999,7,2,4.0,0.2366102454354952,4,87.53000000000002,0,5,2,0.4272054,0.28787234,0.79145753,0.000732837,0.036451597,0.09297986,0.016600205,0.042960003,0.008494141,0.3226896,0.20006175,0.27706847,0.10481612,0.42362612,0.9918321,0.0096979495,0.0091725,0.011273951,0.04254694,0.013450657,0.033990555,0.0017929577,0.38200444,0.010858024,0.1620182,0.004918362,0.07621581,0.004989048,0.02212522,0.5001958,0.18693514,-5.3460884,25.73196,5.635774,12.0688305,-15.743683,2.3771186,-0.6772634,10.504026,-0.14611097,3.6960118,47.17047451669596,40.03514938488577,79.85940246045695,61.37082601054482,63.44463971880493,14.024604569420037,81.28295254833041,59.648506151142364,47.59226713532514,99.89455184534272,95.07908611599298,72.54833040421794,18.418277680140598,49.03339191564148,12.442882249560634,34.90333919156415,35.008787346221446,38.62917398945519,27.732864674868193,23.163444639718808,39.472759226713535,67.7328646748682,73.67311072056239,51.880492091388405,51.21265377855888,41.05448154657294,46.60808435852373,16.30931458699473,41.511423550087876,60.80843585237259,44.147627416520216,8.752196836555362,26.15114235500879,29.314586994727595,33.708260105448154,56.41476274165203,38.10193321616872,79.68365553602813,28.681898066783834,44.25307557117751,46.467486818980674,41.05448154657294,28.717047451669597,44.32337434094904,29.560632688927946,43.90158172231986,30.720562390158175,45.58875219683656,21.33567662565905,4.991212653778559,92.75922671353253,67.31107205623903
COC(c1cncnc1)C(C)CCC(=O)CCC(S)OO,314.4069999999999,2.6752000000000007,7,2,4.0,0.29897691081271527,3,81.54,0,4,2,0.23813494,0.4738652,0.8701438,0.0017963562,0.04157475,0.12498462,0.016878415,0.083976336,0.0177575,0.36993653,0.41090506,0.13961098,0.1698056,0.44755602,0.99968493,0.005486472,0.014939405,0.015168486,0.032636512,0.007030626,0.023345439,0.0008739086,0.5810875,0.019678557,0.06269796,0.003528402,0.031428657,0.0026614896,0.00853901,0.36359692,0.30104405,-5.130039,47.464283,26.75054,10.107674,-15.191856,2.5258102,0.33705488,29.59116,-1.1059792,2.5366368,45.20210896309315,56.02811950790861,79.85940246045695,61.37082601054482,63.44463971880493,20.0,76.60808435852373,55.377855887521974,47.59226713532514,99.27943760984184,95.07908611599298,52.68892794376099,30.861159929701234,68.6115992970123,17.082601054481547,37.39894551845343,47.732864674868196,38.87521968365554,42.81195079086116,33.35676625659051,43.198594024604574,79.40246045694201,42.98769771528999,65.58875219683657,52.513181019332166,66.08084358523726,30.193321616871707,30.36906854130053,45.76449912126538,56.97715289982426,25.869947275922673,2.4253075571177507,17.504393673110723,37.39894551845343,38.31282952548331,32.337434094903344,32.68892794376099,62.95254833040423,21.511423550087876,27.31107205623902,29.384885764499124,50.43936731107206,39.29701230228471,61.89806678383129,51.247803163444644,40.246045694200355,34.16520210896309,55.39543057996485,35.36028119507909,14.551845342706503,82.2847100175747,59.29701230228471
COC(c1cncnc1)C(C)CCC(=O)CSCC(S)OO,346.474,2.628200000000001,8,2,4.0,0.27578052784476553,3,81.54,0,4,2,0.2836199,0.4329822,0.85047024,0.0038254769,0.10811524,0.11525978,0.040627733,0.07054024,0.017179495,0.44169435,0.6456834,0.15403642,0.12989172,0.5373205,0.9998711,0.0041217012,0.009943882,0.024110595,0.05740621,0.008137617,0.023641374,0.0012888598,0.6444891,0.028960463,0.09469869,0.0040768236,0.05727794,0.0040754466,0.010009955,0.38211533,0.3346143,-5.218238,63.319904,49.7932,3.765595,-15.325455,2.5606475,0.8006107,43.92353,-1.8010156,2.8683567,52.829525483304046,54.93848857644992,84.51669595782074,61.37082601054482,63.44463971880493,17.539543057996486,76.60808435852373,55.377855887521974,47.59226713532514,99.27943760984184,95.07908611599298,58.31282952548331,28.084358523725836,63.47978910369069,22.49560632688928,53.0755711775044,42.882249560632694,52.44288224956064,37.82073813708261,32.89982425307557,49.77152899824254,86.71353251318102,46.81898066783832,57.9261862917399,57.15289982425308,72.61862917398946,23.51493848857645,17.891036906854133,52.056239015817226,66.46748681898067,29.912126537785593,2.460456942003515,22.284710017574696,40.91388400702988,41.30052724077329,42.6713532513181,35.32513181019333,75.21968365553603,26.572934973637963,29.666080843585238,31.564147627416524,53.18101933216169,34.90333919156415,71.63444639718806,68.50615114235501,28.822495606326893,33.391915641476274,57.25834797891037,42.882249560632694,23.51493848857645,73.88400702987698,61.89806678383129
