smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
COC(c1cncnc1)C(C)CCN1CCN(CC(O)S)CC1,340.493,1.0560999999999998,7,2,4.0,0.5449686517050497,3,61.72000000000001,0,2,1,0.012008831,0.294491,0.5627182,0.0009864846,0.039308082,0.023016894,0.027138272,0.1880348,0.1884216,0.11109263,0.19458415,0.18975383,0.059547015,0.11210066,0.9801836,0.0011157448,0.009394047,0.009028371,0.007380458,0.0035936076,0.024741787,3.3957356e-05,0.38161808,0.040921487,0.043695606,0.00011863561,0.0032340628,0.0031986963,0.00067551096,0.43619767,0.666834,-5.498399,18.424404,6.3810062,17.616821,-17.510643,2.5287247,-0.6593326,4.1706343,-0.6509916,4.868965,51.84534270650264,32.23198594024605,79.85940246045695,61.37082601054482,63.44463971880493,52.72407732864675,76.60808435852373,39.71880492091389,47.59226713532514,87.9261862917399,83.09314586994728,3.0931458699472762,19.015817223198596,20.351493848857647,13.884007029876978,36.41476274165203,13.778558875219685,46.36203866432338,66.25659050966608,70.75571177504395,17.012302284710017,67.31107205623903,56.41476274165203,36.203866432337435,20.77328646748682,35.99297012302285,6.1862917398945525,16.871704745166962,37.78558875219684,35.50087873462215,12.72407732864675,2.9525483304042184,3.9718804920913886,29.314586994727595,44.04217926186292,23.866432337434098,2.6362038664323375,20.667838312829527,23.444639718804922,4.288224956063269,38.73462214411248,70.61511423550088,23.90158172231986,35.21968365553603,30.158172231985944,53.98945518453428,23.690685413005273,55.465729349736385,21.47627416520211,3.4094903339191567,87.83831282952549,73.77855887521969
COC(c1cncnc1)C(C)CCN1CCN(CC(S)C(=O)O)CC1,368.50300000000004,1.1909,7,2,4.0,0.6340154919748776,3,78.79,0,1,0,0.022708634,0.19983938,0.63837504,0.00016972693,0.00812461,0.031221991,0.007919134,0.111142516,0.042105746,0.10600885,0.041859955,0.19119337,0.10514959,0.117134094,0.91484463,0.0022253054,0.017877122,0.0025720163,0.0021390591,0.0054951487,0.043389697,9.5968084e-05,0.15215735,0.0102817835,0.031013275,0.00035194037,0.0022371742,0.0009195662,0.001572062,0.39689195,0.34420413,-6.0684347,2.726542,-0.11602821,-6.506531,-19.950897,2.270481,-1.7204287,18.880337,-1.1233379,-0.678386,58.03163444639719,34.13005272407733,79.85940246045695,61.37082601054482,63.44463971880493,64.49912126537787,76.60808435852373,53.25131810193322,47.59226713532514,66.52021089630932,37.188049209138846,6.1862917398945525,13.356766256590511,25.940246045694202,8.189806678383128,13.181019332161688,16.133567662565905,28.400702987697716,50.50966608084359,46.643233743409496,16.30931458699473,47.557117750439375,56.695957820738144,51.9859402460457,21.652021089630935,27.451669595782075,12.970123022847101,36.48506151142355,17.223198594024606,19.36731107205624,20.316344463971884,15.711775043936733,5.413005272407734,19.82425307557118,33.286467486818985,16.766256590509666,6.959578207381371,15.641476274165203,12.196836555360282,8.014059753954307,33.427065026362044,54.20035149384886,12.934973637961336,17.012302284710017,24.323374340949037,11.669595782073815,17.223198594024606,39.22671353251319,10.579964850615115,8.365553602811952,82.10896309314587,28.787346221441126
COC(c1cncnc1)C(C)CCN1CCN(CC(S)CO)CC1,354.52000000000004,1.0985999999999998,7,2,4.0,0.6477681524263295,3,61.72000000000001,0,1,0,0.025888115,0.34411013,0.5861559,0.0003197892,0.011655025,0.018514475,0.0049502994,0.25097567,0.12810035,0.11279311,0.14210553,0.1463927,0.063483514,0.06221945,0.98378676,0.0010106316,0.010705931,0.0031738945,0.0036132683,0.0024786966,0.019990489,1.1311835e-05,0.43066114,0.023730187,0.032182034,9.08241e-05,0.0018226905,0.0011889831,0.0005288942,0.50693023,0.69401884,-5.448283,22.254389,9.663829,21.228222,-17.054974,2.5781648,-0.5590847,6.3808594,-0.69137686,5.69612,54.6572934973638,32.970123022847105,79.85940246045695,61.37082601054482,63.44463971880493,66.46748681898067,76.60808435852373,39.71880492091389,47.59226713532514,66.52021089630932,37.188049209138846,6.994727592267136,21.827768014059757,21.33567662565905,9.279437609841828,17.680140597539545,12.056239015817225,22.42530755711775,73.0755711775044,64.60456942003516,17.3286467486819,63.09314586994728,44.920913884007035,37.99648506151143,11.915641476274166,36.977152899824254,5.553602811950792,19.789103690685415,20.175746924428825,25.729349736379614,7.732864674868191,1.5817223198594026,2.706502636203867,31.142355008787348,39.789103690685415,17.398945518453427,1.9683655536028122,13.602811950790862,14.200351493848858,3.4797891036906856,47.697715289982426,71.73989455184535,25.166959578207383,40.562390158172235,33.145869947275926,59.613356766256594,25.483304042179263,58.62917398945519,23.163444639718808,3.8664323374340954,87.59226713532514,77.46924428822496
COC(c1cncnc1)C(C)CCN1CCN(CC(C)S)CC1,338.521,2.1262,6,1,4.0,0.7355822722414266,3,41.49000000000001,0,1,0,0.023564585,0.5926159,0.5760542,0.005146412,0.11457193,0.027077645,0.04421948,0.3176821,0.48240867,0.1892312,0.41382438,0.16998273,0.12940426,0.09179257,0.9973942,0.0006602269,0.0073430585,0.009625949,0.012167258,0.0029686517,0.017919753,2.6879556e-05,0.7200252,0.11623746,0.056072097,9.34688e-05,0.0056794314,0.004327895,0.0006480739,0.514036,0.86403406,-5.1350546,27.890903,15.213344,22.018974,-14.269612,2.7838974,-0.12051244,12.362741,-1.0530944,5.6665077,51.17750439367312,46.467486818980674,72.46045694200352,36.59050966608085,63.44463971880493,80.17574692442884,76.60808435852373,24.18277680140598,47.59226713532514,66.52021089630932,37.188049209138846,6.39718804920914,39.57820738137083,20.77328646748682,24.74516695957821,54.09490333919157,14.727592267135327,53.88400702987698,77.89103690685414,84.56942003514939,25.58875219683656,79.47275922671353,51.70474516695958,57.750439367311074,17.820738137082603,48.963093145869955,3.233743409490334,11.985940246045695,38.73462214411248,43.02284710017575,10.052724077328648,1.3005272407732866,3.5852372583479792,45.41300527240774,54.55184534270651,30.228471001757473,2.0386643233743413,29.876977152899826,27.029876977152902,4.042179261862918,48.89279437609842,83.72583479789104,39.05096660808436,46.432337434094904,39.43760984182777,60.84358523725835,39.43760984182777,70.82601054481547,28.541300527240775,5.483304042179262,82.7768014059754,77.39894551845343
COC(c1cncnc1)C(C)CCN1CCN(CC(S)C=O)CC1,352.504,1.3052,7,1,4.0,0.5340832276008605,3,58.56000000000001,0,2,1,0.08021404,0.48433143,0.62088376,0.0011254061,0.05210824,0.038117725,0.025908548,0.20050392,0.15689813,0.20652309,0.31621233,0.23042028,0.13340124,0.14451271,0.9911418,0.0022185892,0.010241212,0.007393863,0.009910924,0.004737958,0.028756732,6.5673594e-05,0.5376414,0.03924072,0.06467474,0.00042493906,0.007834727,0.0023000413,0.0020728991,0.50276756,0.72590697,-5.357689,24.352306,19.198225,14.03374,-16.097271,2.8727136,-0.24762864,13.193372,-1.2022574,3.4701862,54.059753954305805,35.21968365553603,79.85940246045695,36.59050966608085,63.44463971880493,51.00175746924429,76.60808435852373,37.293497363796135,47.59226713532514,87.9261862917399,83.09314586994728,22.847100175746927,31.634446397188054,24.323374340949037,14.727592267135327,40.597539543058,18.629173989455186,45.4481546572935,67.97891036906854,68.18980667838314,27.346221441124783,75.04393673110721,65.37785588752197,58.840070298769774,26.572934973637963,40.35149384885765,12.970123022847101,18.804920913884008,33.98945518453427,40.28119507908612,17.398945518453427,5.588752196836555,4.92091388400703,35.571177504393674,43.514938488576455,32.89982425307557,7.943760984182777,36.063268892794376,20.07029876977153,10.123022847100177,46.95957820738138,73.81370826010546,28.154657293497365,42.882249560632694,43.971880492091394,47.45166959578208,29.103690685413007,75.99297012302286,26.643233743409493,5.729349736379614,81.37082601054482,65.72934973637962
COC(S)CN1CCN(CCC(C)C(OC)c2cncnc2)CC1,354.5200000000001,1.7101999999999997,7,1,4.0,0.5381824477050317,3,50.72,0,2,1,0.035582356,0.5472136,0.64878356,0.0018431956,0.06818081,0.025949392,0.03054412,0.2863598,0.26893714,0.19829297,0.40293685,0.13985196,0.10981931,0.11864724,0.99892825,0.0009316179,0.008574525,0.010161079,0.010708664,0.0026932487,0.01693451,1.8533417e-05,0.72301835,0.061926346,0.04427762,0.00016157556,0.004575486,0.0027156095,0.00075226894,0.44477788,0.8190643,-5.172806,31.903015,18.32433,21.787212,-15.024035,2.6973557,-0.22142701,9.217085,-0.903433,5.58984,54.6572934973638,40.31634446397189,79.85940246045695,36.59050966608085,63.44463971880493,51.564147627416524,76.60808435852373,31.54657293497364,47.59226713532514,87.9261862917399,83.09314586994728,9.490333919156416,36.41476274165203,26.85413005272408,17.293497363796135,45.4481546572935,14.481546572934976,48.26010544815466,76.02811950790861,75.78207381370827,26.60808435852373,78.94551845342707,43.057996485061516,53.427065026362044,22.03866432337434,55.95782073813709,5.061511423550089,14.833040421792619,39.75395430579965,41.195079086115996,8.646748681898067,1.1599297012302285,3.233743409490334,45.51845342706503,47.94376098418278,24.11247803163445,3.5500878734622145,26.08084358523726,21.827768014059757,4.6045694200351495,39.75395430579965,80.49209138840071,37.01230228471002,50.298769771529,42.7768014059754,60.456942003514946,35.21968365553603,65.79964850615114,27.10017574692443,4.745166959578208,84.71001757469244,77.11775043936731
CCOC(S)CN1CCN(CCC(C)C(OC)c2cncnc2)CC1,368.54700000000014,2.1003,7,1,4.0,0.5041783124725284,3,50.72,0,2,1,0.0365559,0.6329343,0.66534823,0.0030458404,0.082866006,0.029560512,0.032612965,0.337216,0.34862036,0.22522946,0.43555012,0.13589323,0.13609235,0.12572423,0.99929273,0.00076507573,0.008659888,0.011503732,0.009808542,0.0022967863,0.016623674,1.8937828e-05,0.78520924,0.080738,0.040633492,0.00012602595,0.004457732,0.0026958478,0.000613072,0.47882843,0.8573397,-5.137569,34.85485,21.61695,25.393665,-14.964647,2.7227561,-0.13310373,9.230685,-0.9223464,6.515828,58.101933216168725,46.25659050966608,79.85940246045695,36.59050966608085,63.44463971880493,46.99472759226714,76.60808435852373,31.54657293497364,47.59226713532514,87.9261862917399,83.09314586994728,9.630931458699473,42.882249560632694,28.541300527240775,21.265377855887525,48.57644991212654,15.53602811950791,49.068541300527244,79.19156414762742,79.64850615114236,30.158172231985944,79.92970123022847,41.93321616871705,59.613356766256594,22.95254833040422,58.875219683655544,3.8664323374340954,14.938488576449913,41.792618629173994,40.07029876977153,7.029876977152901,1.0544815465729351,3.233743409490334,50.54481546572936,50.57996485061512,22.284710017574696,2.776801405975396,25.51845342706503,21.652021089630935,3.796133567662566,44.147627416520216,83.3743409490334,38.91036906854131,52.89982425307558,46.22144112478032,64.56942003514939,35.50087873462215,67.6274165202109,28.295254833040424,4.745166959578208,84.56942003514939,80.49209138840071
COC(c1cncnc1)C(C)CCN1CCN(CC(S)OC(C)=O)CC1,382.5300000000001,1.6268999999999998,8,1,4.0,0.39543570581864373,3,67.79000000000002,0,2,1,0.03948659,0.55533653,0.613958,0.0012413615,0.06543725,0.035899535,0.032545634,0.23398145,0.3398727,0.21686924,0.30265895,0.17409831,0.17386964,0.13732669,0.9979559,0.0011820348,0.010164544,0.006517566,0.0085952245,0.0031214694,0.022688735,3.6436413e-05,0.6240747,0.060576104,0.045442972,0.00016220483,0.006064373,0.0022287522,0.0010218465,0.4809259,0.82260454,-5.2173815,36.239582,29.690012,11.285082,-15.88103,2.7833042,-0.14341202,15.821843,-1.11828,3.231556,61.195079086115996,39.5079086115993,84.51669595782074,36.59050966608085,63.44463971880493,32.54833040421793,76.60808435852373,45.20210896309315,47.59226713532514,87.9261862917399,83.09314586994728,10.474516695957822,37.08260105448155,23.72583479789104,15.043936731107207,44.604569420035155,18.031634446397188,49.068541300527244,71.56414762741653,79.36731107205624,28.717047451669597,74.20035149384887,52.68892794376099,66.22144112478033,25.237258347978912,50.22847100175748,6.748681898066785,18.558875219683657,31.564147627416524,37.750439367311074,10.474516695957822,2.249560632688928,4.1124780316344465,39.472759226713535,47.80316344463972,24.780316344463973,3.5500878734622145,31.247803163444644,19.543057996485064,5.413005272407734,44.42882249560633,80.87873462214412,34.97363796133568,54.02460456942004,53.919156414762746,42.21441124780317,30.087873462214414,70.75571177504395,28.119507908611602,6.889279437609843,82.21441124780317,64.39367311072057
COC(c1cncnc1)C(C)CCN1CCN(CC(N)S)CC1,339.509,1.0225000000000004,7,2,4.0,0.544491415848843,3,67.51,0,2,1,0.029153163,0.32157227,0.50342953,0.0016067954,0.025635371,0.011528227,0.008965449,0.27674234,0.24961892,0.09231926,0.28046384,0.18499638,0.04219942,0.06706411,0.9859196,0.0011423705,0.011187764,0.009947905,0.0076759392,0.0024215255,0.019461842,5.0436947e-06,0.46102905,0.02612696,0.037012026,8.851063e-05,0.0019310846,0.002224984,0.00041892278,0.54710925,0.77379763,-5.640209,9.998545,5.1848326,15.267431,-17.436773,2.7311988,-0.97775,-1.7938141,-0.700078,3.5085254,51.564147627416524,31.985940246045697,79.85940246045695,61.37082601054482,63.44463971880493,52.68892794376099,76.60808435852373,45.026362038664324,47.59226713532514,87.9261862917399,83.09314586994728,7.838312829525484,20.562390158172235,17.152899824253076,16.695957820738137,29.103690685413007,9.982425307557119,29.912126537785593,75.2548330404218,74.34094903339192,14.481546572934976,72.82952548330405,54.93848857644992,27.732864674868193,12.688927943760985,37.609841827768015,6.467486818980668,21.23022847100176,39.36731107205624,36.063268892794376,7.521968365553604,1.4762741652021092,2.319859402460457,32.337434094903344,40.246045694200355,20.45694200351494,1.898066783831283,14.094903339191566,19.543057996485064,2.882249560632689,53.5676625659051,76.94200351493849,20.667838312829527,25.940246045694202,28.96309314586995,49.45518453427066,23.936731107205627,68.11950790861161,17.891036906854133,2.319859402460457,87.34622144112478,65.94024604569421
COC(c1cncnc1)C(C)CCN1CCN(CC(S)Cl)CC1,358.93899999999996,2.3026,6,1,4.0,0.5701765744186926,3,41.49000000000001,0,2,2,0.07945256,0.6194294,0.63151264,0.0056850435,0.13100526,0.03784767,0.05088223,0.26415047,0.3644138,0.23034127,0.3876399,0.24524558,0.15414687,0.13918637,0.99898434,0.0013299085,0.007442338,0.014072517,0.016653227,0.003876409,0.02273099,6.0798462e-05,0.73225623,0.08516613,0.07414494,0.00028288626,0.011834243,0.004375142,0.001528837,0.5524578,0.8166691,-5.1997414,25.619135,17.593328,24.502792,-14.755449,2.976286,0.1735375,19.381956,-1.2654186,7.195436,55.71177504393673,48.787346221441126,72.46045694200352,36.59050966608085,63.44463971880493,56.239015817223205,76.60808435852373,24.18277680140598,47.59226713532514,87.9261862917399,95.07908611599298,22.460456942003518,41.792618629173994,25.27240773286468,25.483304042179263,56.8365553602812,18.558875219683657,55.64147627416521,74.2706502636204,80.35149384885766,30.861159929701234,78.27768014059755,67.80316344463972,62.81195079086117,25.483304042179263,56.239015817223205,7.732864674868191,12.161687170474519,44.88576449912127,47.59226713532514,13.778558875219685,2.249560632688928,4.745166959578208,46.326889279437616,51.107205623901585,36.13356766256591,5.62390158172232,44.32337434094904,27.24077328646749,7.6625659050966615,54.48154657293498,80.45694200351494,35.922671353251324,44.18277680140598,41.86291739894552,63.47978910369069,36.69595782073814,80.98418277680142,33.32161687170475,8.611599297012303,80.8084358523726,82.74165202108964
