smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
C=CC(OC)C(C)CCC(=O)SCC(S)OO,280.411,2.6090000000000004,6,2,4.0,0.22347118624837925,3,55.760000000000005,0,6,3,0.8550619,0.8600184,0.7803604,0.006416223,0.043620817,0.14943376,0.0071466183,0.16903464,0.013158293,0.5647491,0.019776288,0.35466498,0.08112409,0.12804703,0.98506737,0.04405164,0.008796324,0.0041340776,0.01256506,0.02665177,0.05365945,0.037741207,0.8344194,0.0071860543,0.21997967,0.026499966,0.09155904,0.012181446,0.06988554,0.88966215,0.16708705,-4.4190564,99.33742,66.6702,9.769919,-8.60392,2.4101558,1.947203,59.48335,-2.4004674,1.8441572,34.86818980667839,54.62214411247804,72.46045694200352,61.37082601054482,63.44463971880493,13.04042179261863,76.60808435852373,35.04393673110721,47.59226713532514,99.98242530755712,98.89279437609842,96.30931458699473,62.98769771528999,46.924428822495614,26.678383128295255,38.277680140597546,55.57117750439368,27.135325131810195,63.62038664323375,28.717047451669597,63.16344463971881,40.105448154657296,83.47978910369069,44.88576449912127,23.40949033391916,37.08260105448155,81.75746924428823,15.289982425307558,24.28822495606327,43.55008787346222,60.878734622144115,24.534270650263622,76.3444639718805,55.39543057996485,30.36906854130053,64.04217926186293,68.36555360281196,82.35500878734622,37.46924428822496,66.4323374340949,94.37609841827769,38.94551845342707,86.71353251318102,88.04920913884008,78.80492091388402,39.472759226713535,79.33216168717048,47.838312829525485,61.511423550087876,35.81722319859403,63.58523725834799,53.98945518453428
COC(c1ccccc1)C(C)CCC(=O)SCC(S)OO,330.47099999999995,3.7957000000000023,6,2,4.0,0.3121295356435026,3,55.760000000000005,0,5,3,0.7509537,0.8869952,0.7818661,0.042596538,0.34156066,0.2397695,0.07286781,0.2390513,0.14094338,0.7038533,0.22619176,0.32105938,0.14152506,0.26230112,0.9984946,0.028192822,0.010272958,0.020385444,0.05750237,0.042770408,0.10688064,0.081209116,0.9171913,0.12832539,0.27511483,0.046028174,0.12464074,0.07418787,0.08225657,0.849476,0.5599427,-4.6490507,108.56832,82.35478,6.639763,-9.6582775,2.4839582,2.801951,81.422554,-3.433374,2.1477396,49.2091388400703,73.95430579964851,72.46045694200352,61.37082601054482,63.44463971880493,21.79261862917399,76.60808435852373,35.04393673110721,47.59226713532514,99.89455184534272,98.89279437609842,93.25131810193322,66.78383128295255,47.205623901581724,44.99121265377856,77.11775043936731,77.9261862917399,61.05448154657294,72.091388400703,66.32688927943761,81.15992970123024,69.42003514938489,79.75395430579965,60.421792618629176,40.38664323374341,52.68892794376099,74.02460456942003,18.910369068541304,49.3145869947276,66.5377855887522,72.091388400703,59.964850615114244,85.69420035149386,68.96309314586995,55.85237258347979,68.8224956063269,76.06326889279438,87.06502636203867,60.03514938488577,69.66608084358525,89.77152899824254,65.94024604569421,70.57996485061513,90.68541300527241,85.3427065026362,34.09490333919157,72.65377855887523,52.89982425307558,76.20386643233743,57.328646748681905,43.7609841827768,56.44991212653779
COC(C#N)C(C)CCC(=O)SCC(S)OO,279.38300000000004,1.94658,7,2,4.0,0.3058424108110401,3,79.55,0,5,3,0.85557616,0.8390899,0.8301686,0.014095724,0.032323077,0.14733301,0.0065033836,0.14782038,0.0056371624,0.53186977,0.012147872,0.32678774,0.06925668,0.20321827,0.97162247,0.05697895,0.011888288,0.0059367917,0.010451062,0.025857827,0.05441759,0.03813836,0.7887059,0.0034764227,0.21025714,0.037402492,0.07040931,0.008479675,0.09221797,0.85538596,0.088584706,-4.490596,69.63637,49.640903,8.562979,-10.347432,2.975667,1.3411877,47.755917,-1.9870306,0.08654237,34.6572934973638,43.8664323374341,79.85940246045695,61.37082601054482,63.44463971880493,20.84358523725835,76.60808435852373,53.67311072056239,47.59226713532514,99.89455184534272,98.89279437609842,96.3444639718805,61.15992970123023,58.101933216168725,33.708260105448154,33.04042179261863,55.18453427065027,25.65905096660809,59.964850615114244,17.258347978910372,59.29701230228471,36.098418277680146,80.49209138840071,40.17574692442883,34.90333919156415,33.95430579964851,85.27240773286468,23.12829525483304,29.876977152899826,40.94903339191565,60.07029876977153,25.413005272407734,76.59050966608085,50.82601054481547,24.18277680140598,62.7768014059754,73.0755711775044,78.48857644991213,34.44639718804921,71.8804920913884,90.47451669595783,30.017574692442885,82.24956063268894,74.51669595782074,68.36555360281196,37.3286467486819,67.87346221441125,80.94903339191565,50.790861159929705,26.256590509666083,71.35325131810194,35.99297012302285
COC(C)C(C)CCC(=O)SCC(S)OO,268.4,2.4429000000000003,6,2,4.0,0.30638717010529215,3,55.760000000000005,0,5,3,0.84981966,0.8893126,0.8407248,0.0077004684,0.034878366,0.14260942,0.0048973593,0.23193367,0.01056778,0.54018915,0.010750491,0.33276504,0.06548091,0.11799099,0.9867908,0.036531646,0.0083767595,0.0046074344,0.0081939045,0.02429946,0.058836184,0.039521545,0.87757903,0.006642656,0.18001337,0.02856715,0.06464255,0.0104847085,0.06761259,0.90965766,0.14618763,-4.3786564,94.79246,56.18505,17.769852,-8.465433,2.2964835,1.6059558,52.715523,-2.121591,3.6000323,31.985940246045697,51.3884007029877,72.46045694200352,61.37082601054482,63.44463971880493,20.91388400702988,76.60808435852373,35.04393673110721,47.59226713532514,99.89455184534272,98.89279437609842,96.09841827768015,67.1353251318102,60.421792618629176,28.26010544815466,34.235500878734626,53.5676625659051,22.35500878734622,71.42355008787347,25.76449912126538,60.00000000000001,35.04393673110721,81.33567662565906,39.156414762741655,21.898066783831286,37.99648506151143,78.59402460456943,14.059753954305801,25.940246045694202,37.04745166959579,59.015817223198596,29.736379613356767,77.04745166959579,61.335676625659055,29.595782073813712,59.08611599297013,69.24428822495607,77.18804920913885,36.098418277680146,65.5536028119508,96.20386643233745,36.836555360281196,88.40070298769773,86.08084358523726,72.89982425307558,54.27065026362039,80.56239015817224,40.45694200351494,55.21968365553603,30.404217926186295,68.92794376098419,66.67838312829527
COC(Br)C(C)CCC(=O)SCC(S)OO,333.26899999999995,2.7754000000000008,6,2,4.0,0.23518154973060149,3,55.760000000000005,0,6,5,0.9598757,0.91478765,0.81610596,0.02583009,0.10290323,0.17246218,0.013568906,0.15372305,0.012626352,0.67571247,0.026340429,0.40914345,0.076347366,0.23808756,0.9900335,0.080059126,0.007003016,0.009665044,0.025228605,0.043841448,0.06525805,0.09840487,0.89798737,0.005949796,0.37102348,0.09500716,0.15508175,0.029491886,0.16949962,0.923234,0.1464726,-4.4770055,100.06577,68.81807,17.35759,-8.645879,2.4285843,2.2038167,66.39986,-2.7239215,3.5081966,49.876977152899826,57.9261862917399,72.46045694200352,61.37082601054482,63.44463971880493,13.884007029876978,76.60808435852373,35.04393673110721,47.59226713532514,99.98242530755712,99.92970123022847,98.76977152899825,71.07205623901582,54.27065026362039,39.64850615114236,52.337434094903344,63.26889279437611,36.098418277680146,61.230228471001766,27.94376098418278,77.39894551845343,42.98769771528999,88.11950790861161,42.84710017574693,38.4182776801406,39.71880492091389,88.85764499121267,11.282952548330405,38.840070298769774,53.39191564147628,72.58347978910369,35.04393673110721,87.66256590509667,64.9560632688928,28.435852372583483,76.09841827768015,85.02636203866433,89.56063268892795,47.31107205623902,81.72231985940246,96.76625659050967,36.836555360281196,83.2688927943761,88.18980667838314,80.28119507908612,53.5676625659051,79.12126537785589,48.927943760984185,65.86994727592268,42.46045694200352,57.11775043936731,65.94024604569421
COC(Cl)C(C)CCC(=O)SCC(S)OO,288.818,2.6193000000000004,6,2,4.0,0.23637927233099923,3,55.760000000000005,0,6,5,0.95240223,0.92079866,0.84782535,0.018441249,0.07052801,0.17090818,0.008491065,0.17927167,0.011311409,0.64603245,0.016582321,0.39120808,0.079667896,0.21484315,0.99195945,0.062368773,0.007790553,0.008238895,0.017423542,0.033970464,0.06397255,0.072612606,0.90372115,0.005843279,0.2960251,0.06872915,0.11340679,0.02146526,0.13056208,0.91762984,0.1452096,-4.4408445,98.12466,60.911327,17.200459,-8.72924,2.322982,1.8158133,58.03133,-2.2113388,3.8305411,37.22319859402461,54.76274165202109,72.46045694200352,61.37082601054482,63.44463971880493,14.024604569420037,76.60808435852373,35.04393673110721,47.59226713532514,99.98242530755712,99.92970123022847,98.5237258347979,72.16168717047452,62.882249560632694,36.098418277680146,46.08084358523726,62.70650263620387,29.244288224956065,65.13181019332163,26.643233743409493,73.28646748681899,38.73462214411248,86.95957820738138,44.00702987697716,36.02811950790861,41.15992970123023,86.08084358523726,13.005272407732866,35.922671353251324,48.26010544815466,66.29173989455185,33.95430579964851,84.56942003514939,66.11599297012303,28.295254833040424,70.19332161687171,81.195079086116,85.79964850615114,43.62038664323375,77.36379613356767,96.37961335676627,36.76625659050967,85.65905096660809,87.66256590509667,75.57117750439367,53.286467486818985,78.5237258347979,42.24956063268893,58.76977152899825,34.30579964850615,67.34622144112478,68.29525483304043
CCC(OC)C(C)CCC(=O)SCC(S)OO,282.427,2.8330000000000015,6,2,4.0,0.2946647265697226,3,55.760000000000005,0,5,3,0.8240778,0.8778016,0.8330382,0.005408732,0.04421093,0.14614987,0.0073197735,0.22494009,0.010689598,0.5870688,0.01981033,0.28491148,0.065930076,0.12739182,0.98949337,0.03574373,0.009340982,0.0040065567,0.009792029,0.02293111,0.06008179,0.035561204,0.8911414,0.01205302,0.16306491,0.021447424,0.057829726,0.011136198,0.058025915,0.9002282,0.17240524,-4.417157,111.110794,77.052,22.652609,-7.897452,2.295151,2.1777387,64.614685,-2.889485,5.012876,35.36028119507909,58.66432337434095,72.46045694200352,61.37082601054482,63.44463971880493,19.472759226713535,76.60808435852373,35.04393673110721,47.59226713532514,99.89455184534272,98.89279437609842,95.3602811950791,65.5536028119508,58.699472759226715,25.13181019332162,38.48857644991213,54.692442882249566,27.416520210896312,70.72056239015818,25.869947275922673,66.08084358523726,40.105448154657296,74.93848857644991,39.19156414762742,23.304042179261867,39.43760984182777,78.27768014059755,16.695957820738137,23.936731107205627,40.07029876977153,57.89103690685413,30.826010544815468,75.46572934973639,63.831282952548335,34.692442882249566,56.73110720562391,65.41300527240774,75.28998242530757,36.59050966608085,62.7768014059754,95.28998242530757,39.54305799648507,86.81898066783832,91.28295254833041,83.16344463971882,61.335676625659055,84.21792618629175,40.421792618629176,65.37785588752197,40.63268892794377,54.79789103690686,74.48154657293497
COC(OC)C(C)CCC(=O)SCC(S)OO,284.399,2.0269,7,2,4.0,0.29221824727669765,2,64.99000000000001,0,5,3,0.8953102,0.8069333,0.87442124,0.00025638888,0.0070600263,0.085696116,0.0007260676,0.115413964,0.0014800691,0.44544092,0.0023162744,0.22571726,0.046654023,0.124782465,0.97668207,0.025704568,0.01037344,0.0007869018,0.0029278148,0.012304164,0.04433772,0.011788224,0.76220214,0.0025872884,0.10295949,0.007874908,0.024808373,0.0020110705,0.037469376,0.8690097,0.05645304,-4.460062,97.38886,58.711037,12.812741,-9.673059,2.1613228,1.4102414,52.486023,-2.0411253,3.0799377,35.746924428822496,45.16695957820738,79.85940246045695,61.37082601054482,63.44463971880493,19.156414762741655,69.84182776801407,43.198594024604574,47.59226713532514,99.89455184534272,98.89279437609842,97.29349736379615,57.85588752196837,69.84182776801407,8.681898066783832,11.70474516695958,32.40773286467487,6.32688927943761,51.66959578207382,4.534270650263621,50.12302284710018,23.02284710017575,64.74516695957821,30.720562390158175,22.81195079086116,34.86818980667839,71.9859402460457,19.086115992970125,7.873462214411249,22.95254833040422,41.40597539543058,16.449912126537786,60.49209138840071,48.36555360281196,21.54657293497364,44.99121265377856,46.0456942003515,58.80492091388401,18.629173989455186,54.62214411247804,92.16168717047452,25.76449912126538,84.42882249560634,87.55711775043937,74.09490333919157,45.16695957820738,72.51318101933217,32.4780316344464,51.77504393673111,30.263620386643236,70.50966608084359,63.26889279437611
COC(C(C)CCC(=O)SCC(S)OO)C(F)(F)F,322.37,2.985300000000001,6,2,4.0,0.31134641589081985,3,55.760000000000005,0,5,3,0.7997684,0.8794934,0.8248286,0.006284961,0.11055835,0.15470727,0.013468427,0.16482332,0.011785379,0.65251404,0.03526208,0.25555897,0.06258537,0.18609098,0.9923326,0.03778477,0.009615505,0.004213887,0.020187724,0.029777238,0.06663581,0.05443573,0.9129426,0.01606979,0.21913671,0.028469909,0.07370388,0.020674229,0.08113967,0.8702504,0.17056853,-4.3947344,74.30069,46.84217,20.344194,-7.8358016,2.5578754,2.2938867,66.33092,-2.7160878,3.6224408,47.34622144112478,61.05448154657294,72.46045694200352,61.37082601054482,63.44463971880493,21.687170474516698,76.60808435852373,35.04393673110721,47.59226713532514,99.89455184534272,98.89279437609842,94.90333919156416,65.83479789103691,56.695957820738144,26.502636203866434,53.46221441124781,57.57469244288225,36.063268892794376,63.057996485061516,27.065026362038665,74.23550087873463,45.72934973637962,69.8066783831283,37.57469244288225,33.00527240773287,41.44112478031635,79.0158172231986,17.223198594024606,24.49912126537786,50.36906854130053,63.30404217926187,36.16871704745167,81.12478031634447,68.01405975395431,36.871704745166966,63.93673110720563,69.24428822495607,79.15641476274166,42.95254833040422,69.3145869947276,92.26713532513182,39.26186291739895,87.90861159929702,76.8365553602812,66.50263620386644,58.45342706502637,84.63971880492092,56.94200351493849,67.41652021089631,42.39015817223199,57.188049209138846,66.99472759226714
COC(F)C(C)CCC(=O)SCC(S)OO,272.363,2.35,6,2,4.0,0.3073341948618424,3,55.760000000000005,0,5,4,0.89160216,0.90511674,0.8578574,0.007883397,0.036391158,0.149708,0.0048223017,0.19255123,0.0068674935,0.5672051,0.009186794,0.33169475,0.069805235,0.16265142,0.9910901,0.041728403,0.008733353,0.004971235,0.009358032,0.022377746,0.05506604,0.040064357,0.8832038,0.0054491633,0.1974097,0.034084614,0.070765726,0.010135757,0.082539454,0.8980322,0.11710131,-4.3875303,87.63246,54.261005,12.523274,-8.582513,2.4792068,1.7177337,54.757164,-2.277304,1.5828431,32.68892794376099,49.66608084358524,72.46045694200352,61.37082601054482,63.44463971880493,21.0896309314587,76.60808435852373,35.04393673110721,47.59226713532514,99.89455184534272,99.68365553602813,97.22319859402461,69.63093145869948,65.23725834797892,28.541300527240775,34.833040421792624,55.64147627416521,22.214411247803167,66.99472759226714,20.105448154657296,63.33919156414763,33.84885764499121,81.15992970123024,40.31634446397189,29.736379613356767,40.31634446397189,81.01933216168717,15.184534270650264,27.521968365553604,38.94551845342707,57.434094903339194,25.83479789103691,77.15289982425308,62.46045694200352,27.6274165202109,61.05448154657294,71.59929701230229,78.55887521968366,35.887521968365554,69.73637961335677,94.90333919156416,33.32161687170475,88.11950790861161,83.23374340949034,71.66959578207381,44.67486818980668,79.47275922671353,52.68892794376099,56.97715289982426,32.02108963093146,66.01054481546574,52.12653778558876
