smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,PAINS_alert_drugbank_approved_percentile,BRENK_alert_drugbank_approved_percentile,NIH_alert_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2ccccc2)CC1,412.5340000000001,2.6763000000000003,6,1,4.0,0.6426624889501178,3,78.79,0,0,0,0.008750534,0.29816407,0.7125297,0.00036945555,0.027139628,0.087883316,0.057239316,0.117689654,0.16140483,0.25370857,0.23236223,0.13536642,0.29332992,0.25225025,0.97936773,0.0016351913,0.016090235,0.0039639426,0.003963948,0.005095127,0.034199562,0.00040614264,0.2476949,0.11149075,0.04095065,0.0002271673,0.0029750061,0.0026002708,0.001819107,0.22793308,0.7271603,-5.8472447,3.6271546,1.6562679,-7.403323,-18.779327,2.5592728,-0.7339853,36.86425,-1.722779,-0.4226811,68.26010544815466,56.02811950790861,72.46045694200352,36.59050966608085,63.44463971880493,65.76449912126539,76.60808435852373,53.25131810193322,47.59226713532514,25.869947275922673,37.188049209138846,2.319859402460457,19.156414762741655,34.97363796133568,9.771528998242532,30.333919156414765,33.21616871704745,57.04745166959579,52.23198594024605,68.64674868189807,32.653778558875224,70.01757469244289,41.72231985940246,78.55887521968366,39.57820738137083,35.85237258347979,9.701230228471003,32.86467486818981,23.83128295254833,26.748681898066785,19.121265377855888,8.963093145869948,11.17750439367311,24.147627416520212,54.1652021089631,22.35500878734622,4.815465729349737,19.578207381370827,21.370826010544818,9.209138840070299,13.848857644991213,73.88400702987698,16.55536028119508,17.996485061511425,25.799648506151144,10.439367311072058,19.43760984182777,57.15289982425308,20.738137082601057,18.66432337434095,74.79789103690686,31.634446397188054
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2c[nH]c3ccccc23)CC1,451.57100000000014,3.1576000000000013,6,2,4.0,0.4889152232827376,3,94.58000000000001,0,0,0,0.014273353,0.29433084,0.6952577,0.0011636128,0.042774938,0.0906569,0.10058632,0.11567112,0.20285699,0.30752137,0.3555743,0.13430633,0.39990145,0.35961258,0.98427975,0.0025288004,0.02078536,0.013690801,0.006921529,0.0066576013,0.038588084,0.00060546596,0.21941122,0.17158264,0.05031241,0.00069418835,0.004557618,0.0044731195,0.003971464,0.17777479,0.8267248,-6.096188,-8.206591,4.6644,3.2562218,-21.426926,2.8393471,-0.54162586,50.549847,-2.240192,5.314276,75.99297012302286,63.62038664323375,72.46045694200352,61.37082601054482,63.44463971880493,44.74516695957821,76.60808435852373,64.2530755711775,47.59226713532514,25.869947275922673,37.188049209138846,3.655536028119508,19.015817223198596,32.68892794376099,14.797891036906856,37.926186291739896,34.13005272407733,65.83479789103691,51.739894551845346,71.45869947275924,38.20738137082601,76.97715289982426,41.44112478031635,86.36203866432338,47.240773286467494,37.01230228471002,15.184534270650264,41.968365553602816,44.53427065026362,34.62214411247803,24.534270650263622,11.70474516695958,14.200351493848858,23.02284710017575,59.89455184534271,27.451669595782075,11.388400702987699,26.01054481546573,27.662565905096663,17.293497363796135,9.490333919156416,81.12478031634447,12.583479789103691,9.806678383128297,28.64674868189807,27.838312829525485,14.094903339191566,74.44639718804922,23.374340949033392,28.611599297012305,66.92442882249561,75.67662565905097
COC(c1cncnc1)C(C)CCN1CCN(CC(O)C(=O)O)CC1,352.43500000000006,0.2534000000000007,7,2,4.0,0.6526504561021222,3,99.02000000000002,0,0,0,0.014642487,0.23378973,0.65669954,0.00039106427,0.014399158,0.03319391,0.011103888,0.122048736,0.06546823,0.11913037,0.06435865,0.16733254,0.115164235,0.14540157,0.9145199,0.0017430221,0.020183112,0.0033755512,0.0023488936,0.0044485726,0.04457057,7.386807e-05,0.17751242,0.013695183,0.030195108,0.0003158809,0.0012847391,0.0009945456,0.0012525896,0.3458225,0.4164079,-6.23318,-1.7264389,-9.150964,-1.7765634,-21.764637,1.9116671,-2.1235564,11.999553,-0.7302526,0.7995063,53.88400702987698,25.026362038664324,79.85940246045695,61.37082601054482,63.44463971880493,67.38137082601055,76.60808435852373,66.99472759226714,47.59226713532514,25.869947275922673,37.188049209138846,3.760984182776802,15.114235500878737,27.768014059753956,9.91212653778559,21.054481546572937,16.871704745166962,33.427065026362044,53.602811950790866,53.427065026362044,18.207381370826013,52.79437609841828,51.00175746924429,54.48154657293498,26.78383128295255,27.451669595782075,10.298769771528999,40.84358523725835,21.370826010544818,20.281195079086118,16.274165202108964,16.695957820738137,5.131810193321617,21.265377855887525,35.606326889279444,16.168717047451672,6.115992970123023,10.685413005272409,12.79437609841828,6.291739894551846,26.502636203866434,58.418277680140605,10.93145869947276,14.165202108963094,15.500878734622145,19.36731107205624,13.567662565905097,19.472759226713535,7.803163444639719,5.377855887521969,87.02987697715291,43.79613356766257
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)C(C)C)CC1,378.5170000000001,2.1647,6,1,4.0,0.668259650545365,3,78.79,0,0,0,0.010064495,0.3036281,0.70717674,0.00014055004,0.012506652,0.04707644,0.018666828,0.16830386,0.067324474,0.19730692,0.15339658,0.1340033,0.1384853,0.15721998,0.97882843,0.0011619984,0.012061389,0.002314933,0.002667962,0.0037813988,0.024697913,6.7482295e-05,0.432443,0.040315695,0.032304015,0.00013522388,0.0020696123,0.0016072027,0.0007981866,0.31988174,0.5885636,-5.547043,20.635677,8.654584,-2.4401453,-17.199816,2.2794387,-0.8653368,19.231047,-1.2861176,0.014734888,60.421792618629176,46.99472759226714,72.46045694200352,36.59050966608085,63.44463971880493,69.8066783831283,76.60808435852373,53.25131810193322,47.59226713532514,25.869947275922673,37.188049209138846,2.776801405975396,19.578207381370827,34.27065026362039,7.697715289982426,18.945518453427066,21.61687170474517,40.28119507908612,63.58523725834799,53.63796133567663,26.502636203866434,64.07732864674868,41.30052724077329,59.964850615114244,28.681898066783834,35.67662565905097,6.643233743409491,23.690685413005273,16.063268892794376,21.93321616871705,13.602811950790862,2.9525483304042184,4.956063268892795,31.212653778558877,43.831282952548335,17.504393673110723,3.0931458699472762,14.973637961335678,16.485061511423552,4.674868189806679,23.866432337434098,67.02987697715291,22.74165202108963,38.242530755711776,32.337434094903344,18.137082601054484,24.56942003514939,39.64850615114236,19.191564147627417,8.541300527240773,80.45694200351494,35.07908611599297
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)C(=O)O)CC1,380.4450000000001,0.5933000000000016,7,2,4.0,0.5626264378741642,2,116.09000000000002,0,1,0,0.014256099,0.21271837,0.5590158,0.0011474665,0.02124775,0.031162668,0.021097818,0.034364156,0.09728291,0.07554535,0.019593736,0.22537403,0.20657137,0.19582784,0.49969763,0.0023971011,0.032884438,0.0029360477,0.0016901379,0.008988926,0.09187844,0.00030057793,0.03023817,0.0063441284,0.029354805,0.0005215889,0.0011679393,0.00071228587,0.0025119265,0.2989382,0.20976982,-6.444298,-26.55686,-18.10875,4.4297395,-23.310558,2.0944936,-3.1361341,17.774578,-0.8005627,0.8706001,60.77328646748683,27.803163444639722,79.85940246045695,61.37082601054482,63.44463971880493,55.289982425307564,69.84182776801407,76.69595782073814,47.59226713532514,66.52021089630932,37.188049209138846,3.655536028119508,14.13005272407733,20.210896309314588,14.797891036906856,26.256590509666083,16.098418277680143,42.00351493848858,24.639718804920918,59.89455184534271,12.372583479789105,40.03514938488577,64.67486818980669,70.72056239015818,33.63796133567663,15.465729349736382,14.340949033391917,60.49209138840071,18.910369068541304,16.485061511423552,32.513181019332166,52.196836555360285,9.244288224956064,11.212653778558876,29.209138840070302,15.606326889279439,9.103690685413007,10.298769771528999,10.61511423550088,12.231985940246046,21.195079086115996,43.30404217926187,9.068541300527242,3.9718804920913886,9.595782073813709,30.087873462214414,11.282952548330405,28.119507908611602,3.0579964850615116,7.908611599297013,86.18629173989456,44.32337434094904
COC(c1cncnc1)C(C)CCN1CCN(CC(C(N)=O)C(=O)O)CC1,379.4610000000001,-0.005999999999997396,7,2,4.0,0.5446415826057502,3,121.88000000000001,0,1,0,0.023703974,0.27503097,0.6854516,0.0005103415,0.010290018,0.037844285,0.011167141,0.08944632,0.05164372,0.13106441,0.052043743,0.17712846,0.15530768,0.16752201,0.88488007,0.002574801,0.022997225,0.0025707479,0.0015481564,0.005038885,0.053384073,0.00014237131,0.135928,0.007956659,0.0249979,0.00040985917,0.0013500273,0.0007238927,0.0017347375,0.35628444,0.31644875,-6.127701,-1.0877091,-8.308203,-5.8112707,-21.730488,1.785574,-2.00921,8.961464,-0.77517635,-0.6308423,60.562390158172235,21.968365553602816,79.85940246045695,61.37082601054482,63.44463971880493,52.68892794376099,76.60808435852373,79.47275922671353,47.59226713532514,66.52021089630932,37.188049209138846,6.4323374340949035,17.363796133567664,31.634446397188054,11.107205623901583,15.957820738137084,18.558875219683657,33.602811950790866,44.32337434094904,49.66608084358524,19.578207381370827,50.4042179261863,53.35676625659051,63.09314586994728,30.333919156414765,25.69420035149385,15.325131810193323,45.90509666080844,17.223198594024606,15.289982425307558,18.699472759226715,24.21792618629174,6.39718804920914,19.086115992970125,31.282952548330407,13.251318101933217,7.768014059753955,11.212653778558876,10.61511423550088,8.822495606326891,28.26010544815466,51.66959578207382,12.126537785588754,14.586994727592268,16.168717047451672,12.688927943760985,13.673110720562391,13.391915641476276,8.611599297012303,4.7100175746924435,86.5377855887522,29.279437609841832
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2ccncc2)CC1,413.5220000000001,2.0712999999999995,7,1,4.0,0.6329611701608836,3,91.68,0,0,0,0.0041441834,0.1894095,0.71977633,0.00017175099,0.026041731,0.058834307,0.060906045,0.062956646,0.10525831,0.22234257,0.38751808,0.10457643,0.27922168,0.36422196,0.9936447,0.0012075857,0.012239674,0.004527435,0.0045069577,0.0027412104,0.017054152,8.1059174e-05,0.15678398,0.06284075,0.036426164,0.00019693743,0.002448848,0.0012830214,0.00142807,0.11855533,0.7179313,-6.018241,-11.055279,-9.256453,-1.3242571,-20.636456,2.5746117,-1.6226234,13.750397,-0.98804665,0.12011113,68.54130052724078,45.76449912126538,79.85940246045695,36.59050966608085,63.44463971880493,64.4639718804921,76.60808435852373,62.513181019332166,47.59226713532514,25.869947275922673,37.188049209138846,1.195079086115993,12.618629173989456,36.098418277680146,8.224956063268893,29.630931458699475,24.88576449912127,58.13708260105449,34.58699472759227,61.44112478031635,29.490333919156416,78.27768014059755,31.739894551845346,77.5395430579965,47.59226713532514,42.70650263620387,6.889279437609843,24.04217926186292,25.729349736379614,28.681898066783834,8.998242530755713,1.1599297012302285,5.272407732864675,20.14059753954306,48.1195079086116,20.035149384885766,4.499121265377856,16.731107205623903,14.586994727592268,7.1704745166959585,4.780316344463972,73.32161687170475,13.74340949033392,8.260105448154658,15.325131810193323,19.964850615114237,15.53602811950791,58.277680140597546,11.24780316344464,5.975395430579965,83.55008787346222,36.239015817223205
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2cccs2)CC1,418.5630000000001,2.737800000000001,7,1,4.0,0.6354826775646104,3,78.79,0,0,0,0.016644705,0.2825085,0.6812425,0.0005397705,0.031377256,0.07665766,0.05149331,0.12032664,0.1465745,0.25235566,0.24612197,0.1521591,0.28187165,0.26873595,0.9734422,0.002940118,0.019271467,0.006414993,0.005539932,0.0070083374,0.038646046,0.0005601038,0.24165492,0.09552025,0.049946286,0.0005219195,0.005027228,0.0030178875,0.003482746,0.2656322,0.69832903,-5.8235965,6.326524,4.4543386,-9.278101,-18.71714,2.6001601,-0.79827416,38.448353,-1.6750942,0.47946128,69.87697715289983,57.36379613356767,79.85940246045695,36.59050966608085,63.44463971880493,64.60456942003516,76.60808435852373,53.25131810193322,47.59226713532514,25.869947275922673,37.188049209138846,4.463971880492092,17.926186291739896,30.826010544815468,11.282952548330405,32.61862917398946,29.947275922671356,55.782073813708266,53.286467486818985,67.02987697715291,32.61862917398946,70.93145869947277,46.326889279437616,77.78558875219684,40.98418277680141,34.20035149384886,17.223198594024606,39.05096660808436,31.036906854130056,31.353251318101936,25.729349736379614,11.739894551845344,13.49736379613357,23.97188049209139,52.4780316344464,27.065026362038665,9.103690685413007,28.119507908611602,22.776801405975398,15.746924428822497,16.871704745166962,71.91564147627417,17.047451669595784,21.370826010544818,28.471001757469246,8.330404217926187,19.68365553602812,60.03514938488577,19.894551845342708,19.472759226713535,75.28998242530757,39.82425307557118
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2cccnc2)CC1,413.5220000000001,2.0712999999999995,7,1,4.0,0.6329611701608836,3,91.68,0,0,0,0.0040351027,0.18213841,0.7279007,0.000104959334,0.00974269,0.064422704,0.031802975,0.061709024,0.05842813,0.19960493,0.2477171,0.11551388,0.24545822,0.33576542,0.9847951,0.0010698197,0.011823636,0.0029413502,0.002404948,0.0025579575,0.017681397,8.519105e-05,0.14234185,0.043427665,0.02697351,0.00012225934,0.0020954157,0.0008082936,0.0010718665,0.14072862,0.5965467,-6.061449,-9.647694,-7.8394027,-4.558749,-20.673061,2.527291,-1.7547429,12.174303,-0.9061325,-0.4148127,68.54130052724078,45.76449912126538,79.85940246045695,36.59050966608085,63.44463971880493,64.4639718804921,76.60808435852373,62.513181019332166,47.59226713532514,25.869947275922673,37.188049209138846,1.124780316344464,12.302284710017576,37.25834797891037,7.135325131810194,15.289982425307558,26.29173989455185,48.85764499121266,34.235500878734626,51.63444639718806,26.643233743409493,71.0017574692443,35.21968365553603,74.62214411247804,45.694200351493855,37.04745166959579,5.869947275922672,22.81195079086116,18.910369068541304,20.70298769771529,8.049209138840071,1.2653778558875222,5.377855887521969,19.472759226713535,44.67486818980668,14.657293497363797,2.741652021089631,15.114235500878737,11.493848857644993,5.588752196836555,6.537785588752198,67.24077328646749,13.04042179261863,9.209138840070299,16.449912126537786,14.692442882249562,15.500878734622145,55.43057996485062,10.22847100175747,5.413005272407734,84.63971880492092,31.77504393673111
COC(c1cncnc1)C(C)CCN1CCN(CC(C(=O)O)c2ccccn2)CC1,413.5220000000001,2.0712999999999995,7,1,4.0,0.6329611701608836,3,91.68,0,0,0,0.0058848867,0.22201984,0.72723913,0.00014748612,0.011575272,0.06777284,0.023530984,0.07211985,0.06654158,0.18119863,0.11823316,0.1444002,0.2388223,0.27080455,0.97239816,0.0014162164,0.01383868,0.002162425,0.0021416538,0.0032771933,0.026799545,0.00018432776,0.14463553,0.031446427,0.027038718,0.0001483006,0.0017835048,0.00091856625,0.0012790483,0.20095119,0.51099503,-5.959725,-4.4012175,-5.2997427,-7.262784,-19.664165,2.4580975,-1.4740283,22.293695,-1.1119688,-0.22321692,68.54130052724078,45.76449912126538,79.85940246045695,36.59050966608085,63.44463971880493,64.4639718804921,76.60808435852373,62.513181019332166,47.59226713532514,25.869947275922673,37.188049209138846,1.616871704745167,14.727592267135327,37.25834797891037,7.873462214411249,17.644991212653782,27.346221441124783,43.93673110720563,38.383128295254835,53.5676625659051,24.74516695957821,60.281195079086125,44.42882249560633,74.02460456942003,41.019332161687174,34.024604569420035,8.260105448154658,27.87346221441125,15.325131810193323,19.402460456942006,11.17750439367311,4.499121265377856,7.029876977152901,19.472759226713535,41.75746924428823,14.727592267135327,3.4094903339191567,13.42706502636204,12.196836555360282,6.467486818980668,11.212653778558876,63.374340949033396,14.833040421792619,12.056239015817225,18.875219683655537,10.790861159929703,17.574692442882252,51.35325131810194,12.618629173989456,10.298769771528999,82.21441124780317,33.21616871704745
