                      protein  distance
1                      1C82_A 1.4035269
2                      1GVM_A 1.1678061
3                      1H8G_A 1.6505377
4                      1HCX_A 1.8125092
5                      1IB8_A 3.6595920
6                      1LOH_A 1.7423359
7                      1N7N_A 1.6640026
8                      1N7O_A 1.4478364
9                      1N7P_A 1.5703660
10                     1N7Q_A 2.0066540
11                     1N7R_A 1.9150268
12                     1NXO_A 2.6352659
13                     1NXT_A 2.2801184
14                     1OJM_A 1.2482244
15                     1OJN_A 1.6933605
16                     1OJO_A 1.6309145
17                     1OX0_A 2.3216250
18                     1PMD_A 1.8456157
19                     1PSZ_A 1.9239531
20                     1PYY_A 1.4322955
21                     1Q3T_A 1.9819037
22                     1QME_A 1.2600604
23                     1RP5_A 1.4284246
24                     1WRA_A 1.4058736
25                     2ALM_A 1.7572124
26                     2BIB_A 1.3403205
27                     2BML_A 1.7668830
28                     2JKB_A 1.5171069
29                     2L4O_A 2.1402973
30                     2NOV_A 1.4183073
31                     2RJT_A 1.0382555
32                     2V04_A 1.9165386
33                     2VEF_A 1.6934924
34                     2VVZ_A 1.2035556
35                     2VW0_A 1.7868389
36                     2VYU_A 1.6470115
37                     2W1J_A 1.9344791
38                     2W1K_A 1.6075504
39                     2W20_A 1.5224564
40                     2WAD_A 1.0083853
41                     2WAE_A 1.6611757
42                     2WAF_A 1.8988486
43                     2WJD_A 1.8938144
44                     2WW8_A 1.4705014
45                     2X9W_A 2.0512991
46                     2X9Y_A 1.7990643
47                     2X9Z_A 1.9013234
48                     2XD2_A 1.7914006
49                     2XXP_A 1.7499913
50                     2XXQ_A 1.5642251
51                     2Y1V_A 0.8049972
52                     2YA4_A 1.2071666
53                     2Z2L_A 1.0500213
54                     2Z2L_B 0.9419291
55                     2Z2L_C 0.8493869
56                     2Z6I_A 1.3551026
57                     2Z6J_A 1.6019974
58                     3CX3_A 1.5452665
59                     3H71_A 1.5304171
60                     3H72_A 1.5870109
61                     3HIA_A 1.3688366
62                     3IX9_A 1.9267923
63                     3QY8_A 2.2954235
64                     3RPK_A 1.2641121
65                     3S46_A 2.1033767
66                     3ZH3_A 1.8004989
67                     3ZH4_A 2.3881947
68                     3ZK7_A 1.3592926
69                     3ZK8_A 1.7873818
70                     3ZK9_A 1.3073856
71                     3ZPP_A 1.7670153
72                     4CNL_A 1.8928880
73                     4D0Q_A 1.9091974
74                     4D0Y_A 1.4368788
75                     4DE8_A 1.6978241
76                     4HYE_A 2.6647467
77                     4IVV_A 1.6039300
78                     4IWT_A 1.6635061
79                     4MR0_A 1.4995647
80                     4OQ1_A 1.8388094
81                     4QQA_A 1.4011386
82                     4UTO_A 1.8536583
83                     4UTP_A 1.4912702
84                     4X36_A 1.3603165
85                     4XE9_A 1.2934162
86                     4XMA_A 1.1282019
87                     4XOG_A 1.6733960
88                     4XYX_A 1.4393681
89                     4YW1_A 1.2916105
